CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
02007,02,Albacete,Alcalá del Júcar,MUNICIPIO,02007,1170,,07AB,5513,02007Alcalá del Júcar,,
02013,02,Albacete,Balsa de Ves,MUNICIPIO,02013,158,,07AB,5513,02013Balsa de Ves,,
02020,02,Albacete,Carcelén,MUNICIPIO,02020,501,,07AB,5513,02020Carcelén,,
02021,02,Albacete,Casas de Juan Núñez,MUNICIPIO,02021,1307,,07AB,5513,02021Casas de Juan Núñez,,
02023,02,Albacete,Casas de Ves,MUNICIPIO,02023,572,,07AB,5513,02023Casas de Ves,,
02041,02,Albacete,Jorquera,MUNICIPIO,02041,355,,07AB,5513,02041Jorquera,,
02064,02,Albacete,Pozo-Lorente,MUNICIPIO,02064,409,,07AB,5513,02064Pozo-Lorente,,
02066,02,Albacete,"Recueja, La",MUNICIPIO,02066,242,,07AB,5513,"02066Recueja, La",,
02077,02,Albacete,Villa de Ves,MUNICIPIO,02077,56,,07AB,5513,02077Villa de Ves,,
02083,02,Albacete,Villavaliente,MUNICIPIO,02083,224,,07AB,5513,02083Villavaliente,,
02001,02,Albacete,Abengibre,MUNICIPIO,02001,790,,08AB,8411,02001Abengibre,,
02026,02,Albacete,Cenizate,MUNICIPIO,02026,1181,,08AB,8411,02026Cenizate,,
02034,02,Albacete,Fuentealbilla,MUNICIPIO,02034,1792,,08AB,8411,02034Fuentealbilla,,
02036,02,Albacete,Golosalvo,MUNICIPIO,02036,104,,08AB,8411,02036Golosalvo,,
02054,02,Albacete,Navas de Jorquera,MUNICIPIO,02054,517,,08AB,8411,02054Navas de Jorquera,,
02079,02,Albacete,Villamalea,MUNICIPIO,02079,4027,,08AB,8411,02079Villamalea,,
02005,02,Albacete,Alborea,MUNICIPIO,02005,658,,09AB,5305,02005Alborea,,
02024,02,Albacete,Casas-Ibáñez,MUNICIPIO,02024,4538,,09AB,5305,02024Casas-Ibáñez,,
02082,02,Albacete,Villatoya,MUNICIPIO,02082,109,,09AB,5305,02082Villatoya,,
02004,02,Albacete,Albatana,MUNICIPIO,02004,692,,10AB,8235,02004Albatana,,
02027,02,Albacete,Corral-Rubio,MUNICIPIO,02027,324,,10AB,8235,02027Corral-Rubio,,
02033,02,Albacete,Fuente-Álamo,MUNICIPIO,02033,2489,,10AB,8235,02033Fuente-Álamo,,
02051,02,Albacete,Montealegre del Castillo,MUNICIPIO,02051,2051,,10AB,8235,02051Montealegre del Castillo,,
02056,02,Albacete,Ontur,MUNICIPIO,02056,1987,,10AB,8235,02056Ontur,,
02061,02,Albacete,Pétrola,MUNICIPIO,02061,692,,10AB,8235,02061Pétrola,,
02042,02,Albacete,Letur,MUNICIPIO,02042,919,,11AB,4767,02042Letur,,
02055,02,Albacete,Nerpio,MUNICIPIO,02055,1191,,11AB,4767,02055Nerpio,,
02086,02,Albacete,Yeste,MUNICIPIO,02086,2657,,11AB,4767,02086Yeste,,
02016,02,Albacete,Bienservida,MUNICIPIO,02016,603,,12AB,5005,02016Bienservida,,
